0100100100001;  ;47;49  
0100100102002;  ;47;49  
0100100200001;  ;47;47  
0100100202002;  ;47;47  
0100100300001;  ;47;47  
0100100301001;  ;47;47  
0100100302003;  ;47;47  
0100100302008;  ;47;47  
0100100400001;  ;47;47  
0100100401001;  ;47;47  
0100100402004;  ;47;47  
0100100402006;  ;47;47  
0100117200003;  ;47;47  
0100117201003;  ;47;47  
0100117202004;  ;47;47  
0100117202006;  ;47;47  
0100117202007;  ;47;47  
0100117202008;  ;47;47  
0100117202009;  ;47;47  
0100117202011;  ;47;47  
0100117202016;  ;47;47  
0100117202017;  ;47;47  
0100117202019;  ;47;47  
0107500100001;  ;49;49  
0107500101001;  ;49;49  
0107500102001;  ;49;49  
0107500200001;  ;49;49  
0107500201001;  ;49;49  
0107500202003;  ;49;49  
0107500300002;  ;49;49  
0107500302001;  ;49;49  
0107500400002;  ;47;47  
0107500401002;  ;47;47  
0107500402001;  ;47;47  
0107501000009;  ;49;49  
0107501002007;  ;49;49  
0107501002010;  ;49;49  
0200200100001;  ;59;59  
0200200102003;  ;59;59  
0200200102004;  ;59;59  
0200200500001;  ;59;59  
0200200501001;  ;59;59  
0200200502002;  ;59;59  
0204400100001;  ;59;59  
0204400102001;  ;59;59  
0204403202003;  ;59;59  
0204404302001;  ;59;59  
0204405502001;  ;59;59  
0204406402001;  ;59;59  
0204413300001;  ;59;59  
0206100100001;  ;59;59  
0206100101001;  ;59;59  
0206100102001;  ;59;59  
0206100102002;  ;59;59  
0206100102003;  ;59;59  
0206100102006;  ;59;59  
0206100102010;  ;59;59  
0206103800001;  ;59;59  
0206103802001;  ;59;59  
0207710000001;  ;59;59  
0207710001001;  ;59;59  
0207710002004;  ;59;59  
0207710100001;  ;59;59  
0207710102005;  ;59;59  
0209101602001;  ;59;58  
0209101700001;  ;58;58  
0209101701001;  ;58;58  
0209101702002;  ;58;58  
0209103701001;  ;59;59  
0209103702002;  ;59;59  
0209103702003;  ;59;59  
0209104302001;  ;58;58  
0209106600001;  ;59;59  
0209106601001;  ;59;59  
0209106602001;  ;59;59  
0209108100001;  ;59;59  
0209108400001;  ;58;58  
0209108401002;  ;58;58  
0209108402004;  ;58;58  
0209108402005;  ;59;58  
0300300100001;  ;51;51  
0300300101001;  ;51;51  
0300300102001;  ;51;51  
0300300200001;  ;51;51  
0300300201002;  ;51;51  
0300300202003;  ;51;51  
0300300202004;  ;51;51  
0300300202005;  ;51;51  
0302501000001;  ;51;51  
0302501002002;  ;51;51  
0302502000001;  ;55;51  
0302502002003;  ;55;51  
0302502002004;  ;55;51  
0302503000001;  ;54;54  
0302503002002;  ;54;54  
0302504000001;  ;54;55  
0302504001001;  ;54;55  
0302504002002;  ;54;55  
0302504002004;  ;51;55  
0302504002006;  ;51;55  
0302504002008;  ;54;55  
0302504002010;  ;54;55  
0302505000001;  ;54;54  
0302505001001;  ;54;54  
