010750040260002;     ; 96.9; 99.4;     ; 94.3;102.9; 72.2;     ; 72.2; 70.4; 72.2;     ; 72.2; 66.3; 94.3;     ; 94.3; 87.4;     ;     ;     ;     ;     ;     ;N;N;N;N;
010750040261002; 95.2; 96.9; 99.4; 94.3; 94.3;102.9;     ;     ; 72.2; 70.4;     ;     ; 72.2; 66.3;     ;     ; 94.3; 87.4;     ;     ;     ;     ;     ;     ;N;N;N;N;
010750040262001;     ; 96.9; 99.4;     ; 94.3;102.9;     ;     ; 72.2; 70.4;     ;     ; 72.2; 66.3;     ;     ; 94.3; 87.4;     ;     ;     ;     ;     ;     ;N;N;N;N;
010750100260009;     ; 98.6; 99.4;     ;100.2;102.9; 55.8;     ; 55.8; 70.4; 53.2;     ; 53.2; 66.3; 89.3;     ; 89.3; 87.4;     ;     ;     ;     ;     ;     ;N;N;N;N;
010750100262007;     ; 98.6; 99.4;     ;100.2;102.9;     ;     ; 55.8; 70.4;     ;     ; 53.2; 66.3;     ;     ; 89.3; 87.4;     ;     ;     ;     ;     ;     ;N;N;N;N;
010750100262010; 98.6; 98.6; 99.4;100.2;100.2;102.9;     ;     ; 55.8; 70.4;     ;     ; 53.2; 66.3;     ;     ; 89.3; 87.4;     ;     ;     ;     ;     ;     ;N;N;N;N;
010750120260001;     ; 93.9; 99.4;     ; 95.0;102.9; 54.5;     ; 54.5; 70.4; 54.5;     ; 54.5; 66.3; 91.7;     ; 91.7; 87.4;  0.0; 93.8; 33.3; 90.8; 88.8; 85.0;N;N;N;N;
010750120261001; 97.8; 93.9; 99.4;100.6; 95.0;102.9;     ;     ; 54.5; 70.4;     ;     ; 54.5; 66.3;     ;     ; 91.7; 87.4;  0.0; 99.9; 33.3; 90.8; 88.8; 85.0;N;N;N;N;
010750120262001; 87.1; 93.9; 99.4; 85.1; 95.0;102.9;     ;     ; 54.5; 70.4;     ;     ; 54.5; 66.3;     ;     ; 91.7; 87.4;     ; 89.5; 33.3; 90.8; 88.8; 85.0;N;N;N;N;
020020010220001; 86.1; 89.9; 99.4; 79.0; 91.1;102.9; 40.6;     ; 40.6; 70.4; 31.3;     ; 31.3; 66.3; 73.1;     ; 73.1; 87.4;     ;     ;     ;     ;     ;     ;N;N;N;N;
020020010222004; 95.3; 89.9; 99.4;108.6; 91.1;102.9;     ;     ; 40.6; 70.4;     ;     ; 31.3; 66.3;     ;     ; 73.1; 87.4;     ;     ;     ;     ;     ;     ;N;N;N;N;
020020050260001;     ; 96.5; 99.4;     ;103.0;102.9; 64.0;     ; 64.0; 70.4; 60.0;     ; 60.0; 66.3; 80.5;     ; 80.5; 87.4;     ;     ;     ;     ;     ;     ;N;N;N;N;
020020050261001;     ; 96.5; 99.4; 98.9;103.0;102.9;     ;     ; 64.0; 70.4;     ;     ; 60.0; 66.3;     ;     ; 80.5; 87.4;     ;     ;     ;     ;     ;     ;Y;N;N;N;
020020050262002; 91.5; 96.5; 99.4;109.7;103.0;102.9;     ;     ; 64.0; 70.4;     ;     ; 60.0; 66.3;     ;     ; 80.5; 87.4;     ;     ;     ;     ;     ;     ;N;N;N;N;
020440010260001;     ;105.6; 99.4;     ; 97.3;102.9; 66.7;     ; 66.7; 70.4; 64.3;     ; 64.3; 66.3;100.0;     ;100.0; 87.4;     ;     ;     ;     ;     ;     ;N;N;N;N;
020440010262001;105.6;105.6; 99.4; 97.3; 97.3;102.9;     ;     ; 66.7; 70.4;     ;     ; 64.3; 66.3;     ;     ;100.0; 87.4;     ;     ;     ;     ;     ;     ;N;N;N;N;
020440320032003; 86.8; 86.8; 99.4; 95.3; 95.3;102.9;     ;     ;     ; 70.4;     ;     ;     ; 66.3;     ;     ;     ; 87.4; 85.1; 77.8;100.0; 90.8; 88.8; 85.0;N;N;N;N;
020440430032001; 96.3; 96.3; 99.4; 96.5; 96.5;102.9;     ;     ;     ; 70.4;     ;     ;     ; 66.3;     ;     ;     ; 87.4;     ;     ;     ;     ;     ;     ;N;N;N;N;
020440550022001;105.2;105.2; 99.4; 96.4; 96.4;102.9;     ;     ;     ; 70.4;     ;     ;     ; 66.3;     ;     ;     ; 87.4;     ;     ;     ;     ;     ;     ;N;N;N;N;
020440640022001; 98.7; 98.7; 99.4;104.9;104.9;102.9;     ;     ;     ; 70.4;     ;     ;     ; 66.3;     ;     ;     ; 87.4;     ;     ;     ;     ;     ;     ;N;N;N;N;
020441330170001;     ;     ; 99.4;     ;     ;102.9; 69.7;     ; 69.7; 70.4; 64.5;     ; 64.5; 66.3; 96.7;     ; 96.7; 87.4;     ;     ;     ;     ;     ;     ;N;N;N;N;
020610010260001;     ; 97.7; 99.4;     ;107.2;102.9; 69.0;     ; 69.0; 70.4; 64.8;     ; 64.8; 66.3;  0.0;     ;  0.0; 87.4;     ;     ;     ;     ;     ;     ;N;N;N;N;
020610010261001; 99.0; 97.7; 99.4;101.8;107.2;102.9;     ;     ; 69.0; 70.4;     ;     ; 64.8; 66.3;     ;     ;  0.0; 87.4;  0.7; 55.0; 50.0; 90.8; 88.8; 85.0;N;N;N;N;
020610010262001;102.5; 97.7; 99.4;110.9;107.2;102.9;     ;     ; 69.0; 70.4;     ;     ; 64.8; 66.3;     ;     ;  0.0; 87.4; 94.0; 40.0; 50.0; 90.8; 88.8; 85.0;N;N;N;N;
